,,,,,,,
,,,,,,,
,,HOUR,a.share22,pair,skip,,Elect
,,1,b.get11,part,for,,Grade
,,2,c.slab20,slip,chain,,Domain
,,3,d.per15,,tense,,Break
,,4,e.pile21,way,,,Sample
,,5,f.more22,,,,Menu
,,6,g.lid16,,,,Initial
,,7,h.cue15,,,,Result
,,8,i.own20,,,,Reserve
,,9,j.new20,,,,Space
,,10,k.fill27,,,,Progress
,,11,l.let20,,,,Information
,,12,m.flat23,,,,Vision
,,13,n.some23,,,,Specific
,,14,o.form24,,,,Session
,,15,p.toll27,,,,Ledger
,,16,q.hit14,,,,Track
,,17,r.clip22,,,,Analysis
,,18,s.spot23,,,,Course
,,19,t.fly21,,,,Account
,,20,u.mix14,,,,Consume
,,21,v.disk18,,,,Version
,,22,w.neat21,prove,,,Default
,,23,x.hub12,type,,,Class
,,24,y.case20,use,,,Group
,,,z.pack22,zip,,,Parse
,,,,,,,
,,b.get11,,,,,